#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SRR9224202	SRR9224228	SRR9224232	SRR9224235	SRR9224237	SRR9224239	SRR9224241	SRR9224243	SRR9224246	SRR9224249	SRR9224251	SRR9224253	SRR9224256	SRR9224260	SRR9224262	SRR9224264	SRR9224267	SRR9224269	SRR9224271	SRR9224273	SRR9224275	SRR9224278	SRR9224280	SRR9224282	SRR9224284	SRR9224286	SRR9224289	SRR9224291	SRR9224293	SRR9224296	SRR9224298	SRR9224300	SRR9224302	SRR9224305	SRR9224307	SRR9224309	SRR9224311	SRR9224314	SRR9224315	SRR9224317	SRR9224319	SRR9224321	SRR9224323	SRR9224325	SRR9224327	SRR9224329	SRR9224331	SRR9224333	SRR9224335	SRR9224337	SRR9224339	SRR9224342	SRR9224344	SRR9224346	SRR9224349	SRR9224350	SRR9224352	SRR9224354	SRR9224356	SRR9224358	SRR9224362	SRR9224364	SRR9224366	SRR9224368	SRR9224370	SRR9224372	SRR9224374	SRR9224376	SRR9224379	SRR9224380	SRR9224382	SRR9224384	SRR9224386	SRR9224389	SRR9224391	SRR9224392	SRR9224395	SRR9224397	SRR9224399	SRR9224401	SRR9224403	SRR9224405	SRR9224408	SRR9224409	SRR9224411	SRR9224413	SRR9224416	SRR9224418	SRR9224421	SRR9224423	SRR9224425	SRR9224427	SRR9224429	SRR9224431	SRR9224434	SRR9224435	SRR9224438	SRR9224440	SRR9224442	SRR9224444	SRR9224446	SRR9224448	SRR9224450	SRR9224452	SRR9224455	SRR9224457	SRR9224459	SRR9224461	SRR9224464	SRR9224466	SRR9224469	SRR9224473	SRR9224475	SRR9224477	SRR9224478	SRR9224479	SRR9224482	SRR9224484	SRR9224486	SRR9224488	SRR9224490	SRR9224493	SRR9224494	SRR9224496	SRR9224498	SRR9224500	SRR9224503	SRR9224505	SRR9224507	SRR9224509	SRR9224511	SRR9224513	SRR9224515	SRR9224517	SRR9224519	SRR9224521	SRR9224524	SRR9224526	SRR9224528	SRR9224530	SRR9224532	SRR9224534	SRR9224537	SRR9224539	SRR9224541	SRR9224543	SRR9224545	SRR9224548	SRR9224550	SRR9224553	SRR9224555	SRR9224557	SRR9224560	SRR9224562	SRR9224563	SRR9224566
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.985	100.0	100.0	100.0	100.0	100.0	100.0	99.99935	100.0	100.0	99.70384	100.0	99.92655	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.91819	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98916	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.94964	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99982	100.0	100.0	99.97803	100.0	99.76391	99.93944	100.0	100.0	100.0	100.0
k__Bacteria|p__Bacteroidetes	66.32874	79.92286	77.0843	55.62514	76.72551	59.79179	60.61263	67.71892	70.79096	45.54816	65.96152	27.44692	39.27692	84.26693	74.05894	55.41278	76.57037	82.89488	81.90366	68.59343	51.17467	60.04656	69.62899	65.44863	81.45602	71.65767	66.34696	47.5726	56.86795	58.46951	33.22046	53.40271	62.26003	85.68387	69.49806	75.43952	49.1199	44.38595	69.84329	62.84793	56.97052	41.95867	41.40033	38.3497	44.9684	28.05499	62.97477	43.04838	63.49128	82.92408	44.50652	64.63392	69.33998	67.1652	56.41151	62.6118	60.46409	77.48416	88.3364	81.6711	66.12104	76.88955	69.16371	35.84663	63.25241	80.91723	69.02333	73.24786	84.34447	71.83686	81.17195	38.58194	83.17575	82.01653	75.2101	64.03156	77.35005	77.1175	78.04489	8.74336	25.09607	45.01357	38.56827	67.33901	85.03134	76.86941	79.96631	83.39608	79.02726	65.431	75.14327	59.35488	80.98125	78.3117	83.51855	76.42604	73.1123	80.62047	79.12209	69.10663	49.07652	60.50905	53.8376	59.83856	57.97991	60.83965	71.13318	77.79407	58.98033	77.45333	81.17099	51.00422	79.77332	83.30345	79.94374	88.75562	69.63209	81.88917	81.01752	87.18171	72.35032	83.51222	74.8938	69.57225	72.28307	75.30656	67.2452	63.68495	64.5079	73.46743	73.80755	79.65767	52.57461	38.67796	72.43403	54.28133	46.1857	58.69358	70.1517	66.48977	84.18886	71.46988	59.55486	69.02453	59.06632	53.87341	71.70878	90.35891	70.74924	80.56108	61.02803	67.10925	50.41596	73.19007	69.4213	63.91885
k__Bacteria|p__Firmicutes	32.33738	19.61338	19.58855	37.31145	16.82898	37.70989	34.15086	30.95814	25.92473	46.7363	27.8003	49.37292	47.80972	15.04896	22.15606	44.24124	22.67234	16.34095	17.57218	28.8929	26.38532	28.07819	26.46273	30.78822	17.1543	23.28683	30.80091	43.41399	31.37708	34.23131	48.71199	41.60376	35.06211	13.25931	28.34264	22.82942	37.90563	52.65602	26.93947	33.08596	42.11536	53.10785	55.09875	59.30633	50.88887	67.26302	35.57171	55.07148	34.402	15.51716	53.73725	34.44937	27.89187	31.92809	40.67937	35.93266	37.06151	22.09569	8.95144	16.6808	32.03179	20.63316	29.22323	58.9219	35.29068	17.52683	28.8362	23.28775	14.08527	23.98293	16.48908	54.66258	15.23396	17.6652	24.30328	33.71163	21.25865	21.68382	20.88126	61.90554	64.76797	48.09356	46.59123	28.24409	13.1533	18.28785	18.98626	15.814	20.36946	32.1522	23.41151	38.72616	15.85827	16.72334	12.34986	19.55938	25.04675	18.87179	19.58035	29.97392	49.37567	33.10231	43.63319	37.24594	38.53543	36.20099	24.27636	19.89395	32.94746	20.89229	14.69603	35.85458	19.16901	14.85624	18.40842	10.23634	29.12889	16.28283	17.15024	11.57097	26.02209	15.76595	24.41805	28.98852	27.24666	24.2058	30.99604	35.54298	34.56006	25.34529	25.65263	19.34519	45.514	59.77275	25.35312	44.1649	48.87126	39.30372	27.81914	30.83061	15.22422	26.81984	39.29639	29.41663	39.19175	41.7705	13.80441	7.75636	25.94427	17.75395	32.63114	27.97017	46.1299	24.15388	27.94324	33.0576
k__Bacteria|p__Proteobacteria	0.9619	0.37034	3.14086	6.17408	6.33044	0.95342	4.94418	0.9515	2.9874	6.25825	4.17443	6.97006	6.11109	0.6287	2.90856	0.22629	0.49545	0.42585	0.291	2.24813	22.11243	11.81886	3.15093	2.97297	1.29054	4.4249	2.59463	6.38246	5.40171	4.47632	9.50576	3.22085	2.44652	0.52007	1.78049	1.31117	4.39506	2.77059	2.94326	3.68882	0.54567	3.88918	2.78105	1.97622	3.72194	1.95866	0.76085	1.20992	0.59072	1.47959	0.95575	0.48343	2.35193	0.7297	2.40178	0.56732	0.75443	0.34668	2.55676	0.75612	0.48481	2.29704	0.81879	2.85145	0.66054	1.01851	1.65591	2.49238	0.32165	0.57608	0.90848	2.23878	1.32275	0.27776	0.29668	1.46538	0.83533	0.48743	0.5886	9.29576	5.96425	4.30884	8.17839	1.79719	1.70325	2.07439	0.90193	0.47401	0.50615	1.70152	1.28999	1.28078	2.56426	4.43409	4.07982	3.46343	1.37026	0.30438	1.28137	0.80156	0.84622	5.71468	1.95394	2.64798	3.18269	2.41465	3.34741	2.03265	5.38282	1.40892	2.46084	5.00532	0.97358	1.44521	1.43211	0.39515	0.3885	0.57167	0.64662	0.3077	1.39749	0.45504	0.39242	1.28383	0.30377	0.31325	0.78662	0.59941	0.58108	1.04256	0.43305	0.90564	0.91163	0.59238	0.93671	0.58067	3.0052	1.67233	1.55179	2.51926	0.53378	1.40538	1.07906	1.15245	1.50331	2.0488	14.2029	1.58707	1.48481	1.52145	1.26552	3.06149	3.06176	2.24794	2.3741	2.69303
k__Bacteria|p__Actinobacteria	0.37198	0.09343	0.18629	0.64017	0.08875	1.5449	0.21119	0.37144	0.29691	1.45729	1.99613	16.19744	6.74587	0.05541	0.87445	0.11969	0.26184	0.29635	0.20394	0.22575	0.29461	0.03373	0.74684	0.52825	0.09915	0.63059	0.2575	2.63096	6.35325	2.82286	8.56178	1.38294	0.23134	0.53675	0.33076	0.36932	8.57742	0.18744	0.27398	0.2538	0.31297	1.0156	0.63937	0.32399	0.39445	2.72332	0.69267	0.67021	1.516	0.07918	0.80048	0.43328	0.41623	0.17701	0.50091	0.84245	1.71996	0.07346	0.1554	0.87698	1.34931	0.18025	0.79427	2.36533	0.66191	0.26416	0.48297	0.97201	1.21412	2.57653	0.99698	2.35511	0.02003	0.04051	0.18904	0.78629	0.49937	0.65663	0.21248	20.05534	4.17171	2.58403	6.6621	1.53076	0.11211	0.46429	0.1455	0.31591	0.09713	0.71528	0.15523	0.63817	0.34578	0.53086	0.05176	0.53618	0.4707	0.20336	0.01619	0.11789	0.70158	0.56402	0.57169	0.17189	0.29644	0.52187	1.14265	0.24957	0.16176	0.24225	0.4222	8.13588	0.08409	0.3951	0.21573	0.45506	0.55736	1.0967	0.90593	0.46935	0.2301	0.26679	0.29573	0.09158	0.1665	0.16415	0.97213	0.17266	0.34313	0.14473	0.10676	0.0915	0.99977	0.95691	1.26272	0.9731	1.93785	0.30695	0.47737	0.16035	0.05314	0.30418	0.05013	0.40639	0.23863	1.36052	0.28392	0.21823	0.22265	0.14197	2.36773	1.1498	0.38644	0.33297	0.21942	0.32526
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	66.32874	79.92286	77.0843	55.28447	76.32195	59.07038	60.21882	67.71892	70.79096	43.74613	63.4909	27.11542	38.62069	84.26693	67.38362	55.41278	76.57037	82.89488	81.90366	68.25422	50.74472	58.32396	68.61077	65.10581	81.45602	71.65767	66.34696	46.99747	56.86795	55.8691	32.75078	51.25543	62.26003	85.68387	69.49806	75.43952	48.79009	43.13121	69.84329	61.86098	56.97052	40.44746	40.50128	36.98109	44.58281	28.05499	62.97477	43.04838	63.49128	82.92408	44.50652	64.63392	69.33998	67.1652	56.41151	62.6118	60.46409	77.48416	85.28832	81.6711	66.12104	76.88955	69.16371	35.84663	63.25241	80.91723	69.01358	73.24786	84.34447	71.83686	81.17195	34.99331	83.17575	82.01653	75.2101	64.02121	77.35005	77.1175	78.04489	8.74336	25.03529	44.9343	38.55397	66.01158	85.03134	76.86941	79.96631	83.39608	79.02726	65.431	75.14327	59.35488	80.98125	78.3117	83.47624	74.51533	73.1123	80.62047	79.12209	69.10663	49.07652	59.47293	53.47728	59.37571	57.35882	60.05855	70.30822	77.39547	57.56441	77.45333	81.17099	50.41344	79.77332	83.30345	79.94374	88.75562	69.63209	81.88917	81.01752	87.18171	72.35032	83.51222	74.8938	69.57225	72.28307	75.30656	67.2452	63.68495	64.5079	73.46743	73.80755	79.65767	52.57461	38.67796	72.43403	54.28133	46.1857	58.69358	70.1517	66.48977	84.18886	71.46988	59.55486	69.02453	59.06632	53.87341	70.55803	90.34731	69.37235	80.56108	57.79847	66.78588	50.18065	72.8852	69.00463	63.58942
k__Bacteria|p__Firmicutes|c__Clostridia	29.45053	17.25866	17.50206	28.19471	14.01153	35.45924	27.9883	27.71478	21.84088	42.4444	23.97488	37.27494	43.54422	13.23238	14.81044	43.26426	21.40033	14.62293	15.50588	26.00779	23.78543	23.15105	23.44422	22.79887	12.45406	20.78438	26.8539	38.12892	29.47429	28.17128	41.32033	36.81768	32.55573	9.62373	23.75955	20.38219	31.25982	49.14309	23.24184	30.48031	39.81441	48.17968	48.55652	53.34107	48.03853	65.96314	32.44238	52.49472	30.93775	11.81933	51.38013	31.91072	23.93631	28.42087	36.26079	32.03507	34.76865	20.79281	7.46687	15.97802	30.40825	17.07909	26.40926	49.48133	33.51689	15.40284	23.58995	20.18254	11.68288	19.62465	14.9189	30.46312	12.81155	16.25593	19.40682	26.74497	14.45894	18.72409	15.49342	57.73234	58.18853	42.39335	40.50062	20.60813	11.78918	14.84616	16.38704	12.67022	19.0723	28.98594	19.81099	37.5268	12.56056	12.43267	11.27125	14.21544	23.24688	16.5941	17.28331	27.20987	45.17173	30.42679	40.52628	35.34451	36.40772	33.28395	20.55584	15.80132	31.43458	9.42724	12.34605	28.2927	16.90595	13.04455	14.7216	9.07123	26.37045	12.48464	15.0486	9.44182	21.57223	13.75373	22.51464	24.48382	25.98899	21.45943	28.31076	33.85181	31.97718	23.02255	24.37278	16.72902	40.99134	57.72675	22.87192	39.27072	46.55446	36.29034	25.31559	28.93149	13.74326	21.2018	38.64243	26.88	36.62674	37.16715	13.13613	7.44948	23.13241	15.77619	24.22613	24.85237	43.13553	21.50688	24.28551	28.15931
k__Bacteria|p__Firmicutes|c__Negativicutes	2.46735	2.27676	0.72543	1.63725	2.05647	2.25065	2.04352	1.33915	3.04708	4.06984	3.63505	11.06851	3.66126	1.3998	0.16054	0.53183	0.77104	0.892	0.79653	1.59325	1.52239	4.29659	2.46588	1.61773	4.35625	2.2578	3.27253	5.09242	1.69396	5.89427	6.96579	4.2507	2.21966	3.57762	4.22312	2.18954	6.37062	2.54821	2.62189	1.74318	0.61822	2.84032	1.4053	2.14434	1.67643	0.91164	0.58794	0.9113	0.95397	2.74751	1.28085	0.68614	2.65413	1.51994	2.32396	0.94471	1.39894	0.61215	0.14279	0.38867	0.45591	2.78162	1.57982	1.39068	0.88703	1.50648	1.31182	2.88639	1.81899	1.24637	0.28498	0.37718	1.95367	0.48512	2.39084	6.01789	5.67811	1.58575	3.2998	3.47929	5.33309	4.69577	5.61272	0.48999	0.72368	2.65793	2.44946	2.68782	0.90761	1.4418	1.2138	0.85514	2.42188	4.08968	1.01437	0.54175	1.40366	0.91053	2.23113	1.54321	2.05029	1.74506	2.1802	1.30309	1.16809	2.31439	2.65396	2.362	0.9649	5.04642	1.6439	7.33633	1.72466	1.41213	1.81559	0.76716	1.76721	3.0331	1.80363	1.99196	2.69075	0.80299	0.9795	2.55562	0.51533	0.87772	1.13821	0.64761	0.95136	1.17548	0.55806	1.35386	1.79664	1.05379	1.98461	1.73459	1.82904	1.35832	0.77605	0.79028	0.61248	2.4152	0.30919	1.37812	1.03227	1.8637	0.0959	0.02056	0.37253	1.30377	0.72498	0.71198	2.50421	1.95294	2.65523	3.82416
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.65178	0.3447	1.70966	1.13155	1.76593	0.90182	1.45103	0.71996	2.29897	3.67847	2.94356	5.48072	3.80213	0.42759	2.36531	0.14545	0.36059	0.26817	0.20682	1.67332	1.47762	1.73389	2.61003	2.06736	0.56357	2.36417	1.69439	4.21737	4.36492	3.37125	7.40282	1.94263	0.6787	0.24845	1.36178	0.90978	3.8188	1.61819	1.81408	2.00814	0.33408	2.03979	1.7254	1.80404	3.12802	1.66005	0.61295	0.33965	0.30151	1.34004	0.7939	0.34266	1.79707	0.58006	2.13298	0.36322	0.56907	0.2592	1.6904	0.63707	0.34584	1.41437	0.43554	2.33443	0.50648	0.53737	1.19772	2.4713	0.09993	0.1085	0.80968	0.31873	1.30775	0.22943	0.18259	0.98548	0.60831	0.30068	0.29166	6.50634	3.21567	2.71943	5.44914	0.29858	1.22335	0.75645	0.62263	0.32619	0.36563	1.3064	1.01292	0.86991	1.43401	1.13509	4.02747	2.93704	1.0453	0.22411	1.03695	0.59015	0.56174	2.34876	1.87117	1.87871	1.44812	2.11318	0.0566	1.24903	1.60193	0.24322	2.26655	3.25792	0.53646	0.9421	0.82691	0.2134	0.29443	0.37263	0.47283	0.12908	0.72064	0.30687	0.27312	0.80899	0.16898	0.22209	0.57853	0.53227	0.45459	0.73809	0.31909	0.72001	0.69355	0.34522	0.40942	0.35081	2.49761	1.24569	1.05566	1.7649	0.38934	0.89299	0.82899	0.83329	1.17403	1.54513	1.4945	0.59733	0.67981	0.72422	0.32813	0.55369	2.83452	1.95624	1.89258	2.33737
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.28498	0.0	1.41555	0.11829	0.35995	0.0	0.15947	0.20482	0.6561	2.10254	0.42032	1.43757	2.04703	0.1813	0.02806	0.04029	0.05814	0.12033	0.08143	0.09254	0.13046	0.64463	0.45663	0.04788	0.71284	0.13741	0.70503	1.94892	1.03679	1.10507	2.00862	0.9452	0.05689	0.25627	0.23775	0.15829	0.35696	0.19329	1.12918	0.22317	0.07039	0.42745	0.14516	0.05591	0.12804	0.21376	0.09857	0.06137	0.12824	0.13161	0.09166	0.07352	0.4409	0.14964	0.11765	0.09176	0.03397	0.04481	0.03236	0.06836	0.12201	0.81523	0.34885	0.35056	0.08368	0.46548	0.30664	0.0	0.07218	0.06357	0.09272	0.05392	0.0	0.03191	0.01853	0.24667	0.16675	0.07999	0.17591	1.9956	2.64628	1.33657	2.53676	0.54524	0.00265	0.11605	0.20263	0.08069	0.11156	0.35062	0.25189	0.36068	1.12371	0.0	0.02567	0.11845	0.05558	0.05985	0.0	0.17511	0.14124	0.2741	0.02552	0.15796	0.21181	0.16971	0.07957	0.57724	0.14845	0.27063	0.19212	1.26713	0.38378	0.45596	0.50979	0.10529	0.05173	0.11903	0.08157	0.05626	0.40247	0.11363	0.07879	0.43028	0.07997	0.07214	0.20465	0.06714	0.10667	0.2541	0.11396	0.17564	0.13635	0.13331	0.08657	0.07068	0.41585	0.34876	0.49612	0.67878	0.1069	0.2809	0.05381	0.18773	0.30612	0.46259	0.1818	0.0807	0.51376	0.79205	0.16349	0.63217	0.09552	0.13031	0.35407	0.33411
